file_name, open_change, latest_price, open_price
10001370_SH_2018-10-09_2018-10-09.csv,-7.54189944134,0.0331,0.0358
10001467_SH_2018-10-09_2018-10-09.csv,-2.39543726236,0.2567,0.263
10001465_SH_2018-10-09_2018-10-09.csv,2.5641025641,0.004,0.0039
10001474_SH_2018-10-09_2018-10-09.csv,7.75862068966,0.075,0.0696
10001459_SH_2018-10-09_2018-10-09.csv,-3.90438247012,0.1206,0.1255
10001451_SH_2018-10-09_2018-10-09.csv,2.4,0.0128,0.0125
10001491_SH_2018-10-09_2018-10-09.csv,-5.14018691589,0.0203,0.0214
10001466_SH_2018-10-09_2018-10-09.csv,-4.0,0.0024,0.0025
10001460_SH_2018-10-09_2018-10-09.csv,-3.10818888225,0.1621,0.1673
10001481_SH_2018-10-09_2018-10-09.csv,-4.27098674521,0.065,0.0679
10001448_SH_2018-10-09_2018-10-09.csv,2.72904483431,0.0527,0.0513
10001412_SH_2018-10-09_2018-10-09.csv,-4.06504065041,0.0118,0.0123
10001453_SH_2018-10-09_2018-10-09.csv,-16.6666666667,0.0035,0.0042
10001478_SH_2018-10-09_2018-10-09.csv,2.60416666667,0.0197,0.0192
10001455_SH_2018-10-09_2018-10-09.csv,-5.55555555556,0.017,0.018
10001476_SH_2018-10-09_2018-10-09.csv,4.19947506562,0.0397,0.0381
10001475_SH_2018-10-09_2018-10-09.csv,3.6398467433,0.0541,0.0522
10001454_SH_2018-10-09_2018-10-09.csv,-15.0537634409,0.0079,0.0093
10001483_SH_2018-10-09_2018-10-09.csv,2.19966159052,0.1208,0.1182
10001313_SH_2018-10-09_2018-10-09.csv,-3.14381270903,0.1448,0.1495
10001473_SH_2018-10-09_2018-10-09.csv,2.84775465498,0.0939,0.0913
10001480_SH_2018-10-10_2018-10-10.csv,-4.08163265306,0.0376,0.0392
10001482_SH_2018-10-10_2018-10-10.csv,-5.78105781058,0.0766,0.0813
10001443_SH_2018-10-10_2018-10-10.csv,2.40441466299,0.2598,0.2537
10001447_SH_2018-10-10_2018-10-10.csv,3.41578327444,0.0878,0.0849
10001459_SH_2018-10-10_2018-10-10.csv,-4.12642669008,0.1092,0.1139
10001491_SH_2018-10-10_2018-10-10.csv,-22.4043715847,0.0142,0.0183
10001461_SH_2018-10-10_2018-10-10.csv,4.34782608696,0.0048,0.0046
10001462_SH_2018-10-10_2018-10-10.csv,-5.79781962339,0.1901,0.2018
10001478_SH_2018-10-10_2018-10-10.csv,15.0289017341,0.0199,0.0173
10001449_SH_2018-10-10_2018-10-10.csv,4.95626822157,0.036,0.0343
10001370_SH_2018-10-10_2018-10-10.csv,-5.84415584416,0.029,0.0308
10001445_SH_2018-10-10_2018-10-10.csv,3.56695869837,0.1655,0.1598
10001483_SH_2018-10-10_2018-10-10.csv,-5.19480519481,0.1022,0.1078
10001456_SH_2018-10-10_2018-10-10.csv,-3.88692579505,0.0272,0.0283
10001454_SH_2018-10-10_2018-10-10.csv,-18.5714285714,0.0057,0.007
10001460_SH_2018-10-10_2018-10-10.csv,-4.03071017274,0.15,0.1563
10001492_SH_2018-10-10_2018-10-10.csv,-3.92857142857,0.0269,0.028
10001477_SH_2018-10-10_2018-10-10.csv,13.6186770428,0.0292,0.0257
10001446_SH_2018-10-10_2018-10-10.csv,4.0,0.1248,0.12
10001489_SH_2018-10-10_2018-10-10.csv,8.38401390096,0.2495,0.2302
10001475_SH_2018-10-10_2018-10-10.csv,5.39499036609,0.0547,0.0519
10001474_SH_2018-10-10_2018-10-10.csv,4.6676096181,0.074,0.0707
10001479_SH_2018-10-10_2018-10-10.csv,5.40540540541,0.0117,0.0111
10001451_SH_2018-10-10_2018-10-10.csv,12.7659574468,0.0106,0.0094
10001467_SH_2018-10-10_2018-10-10.csv,-2.12510024058,0.2441,0.2494
10001457_SH_2018-10-10_2018-10-10.csv,-3.42741935484,0.0479,0.0496
10001444_SH_2018-10-10_2018-10-10.csv,3.93777345649,0.2138,0.2057
10001321_SH_2018-10-10_2018-10-10.csv,7.95454545455,0.019,0.0176
10001378_SH_2018-10-10_2018-10-10.csv,-8.25688073394,0.02,0.0218
10001471_SH_2018-10-10_2018-10-10.csv,3.9037085231,0.1597,0.1537
10001476_SH_2018-10-10_2018-10-10.csv,8.40108401084,0.04,0.0369
10001319_SH_2018-10-10_2018-10-10.csv,7.80780780781,0.0359,0.0333
10001448_SH_2018-10-10_2018-10-10.csv,2.86225402504,0.0575,0.0559
10001317_SH_2018-10-10_2018-10-10.csv,10.2915951973,0.0643,0.0583
10001485_SH_2018-10-11_2018-10-11.csv,10.510114336,0.2513,0.2274
10001436_SH_2018-10-11_2018-10-11.csv,26.0638297872,0.0948,0.0752
10001443_SH_2018-10-11_2018-10-11.csv,-2.41228070175,0.178,0.1824
10001377_SH_2018-10-11_2018-10-11.csv,-3.32911925832,0.2294,0.2373
10001491_SH_2018-10-11_2018-10-11.csv,147.706422018,0.081,0.0327
10001426_SH_2018-10-11_2018-10-11.csv,29.302832244,0.1187,0.0918
10001442_SH_2018-10-11_2018-10-11.csv,4.0,0.0468,0.045
10001489_SH_2018-10-11_2018-10-11.csv,-3.79464285714,0.1724,0.1792
10001478_SH_2018-10-11_2018-10-11.csv,-90.8333333333,0.0011,0.012
10001492_SH_2018-10-11_2018-10-11.csv,19.3548387097,0.0555,0.0465
10001470_SH_2018-10-11_2018-10-11.csv,5.11756569848,0.38,0.3615
10001420_SH_2018-10-11_2018-10-11.csv,-13.4969325153,0.141,0.163
10001315_SH_2018-10-11_2018-10-11.csv,-7.6,0.0693,0.075
10001479_SH_2018-10-11_2018-10-11.csv,-29.0697674419,0.0061,0.0086
10001444_SH_2018-10-11_2018-10-11.csv,-2.76967930029,0.1334,0.1372
10001463_SH_2018-10-11_2018-10-11.csv,-5.6150878697,0.2202,0.2333
10001488_SH_2018-10-11_2018-10-11.csv,3.00441014333,0.3737,0.3628
10001319_SH_2018-10-11_2018-10-11.csv,-7.30769230769,0.0241,0.026
10001490_SH_2018-10-11_2018-10-11.csv,-6.6,0.1401,0.15
10001483_SH_2018-10-11_2018-10-11.csv,6.49867374005,0.1606,0.1508
10001438_SH_2018-10-11_2018-10-11.csv,27.0049099836,0.0776,0.0611
10001450_SH_2018-10-11_2018-10-11.csv,-6.32911392405,0.0074,0.0079
10001418_SH_2018-10-11_2018-10-11.csv,-5.75682382134,0.1899,0.2015
10001465_SH_2018-10-11_2018-10-11.csv,-46.1538461538,0.0007,0.0013
10001428_SH_2018-10-11_2018-10-11.csv,19.3427931292,0.1598,0.1339
10001460_SH_2018-10-11_2018-10-11.csv,4.39804531319,0.235,0.2251
10001439_SH_2018-10-11_2018-10-11.csv,-2.15450907972,0.3179,0.3249
10001458_SH_2018-10-11_2018-10-11.csv,5.26315789474,0.14,0.133
10001435_SH_2018-10-11_2018-10-11.csv,-5.66037735849,0.25,0.265
10001430_SH_2018-10-11_2018-10-11.csv,7.69230769231,0.1988,0.1846
10001456_SH_2018-10-11_2018-10-11.csv,3.69276218612,0.0702,0.0677
10001452_SH_2018-10-11_2018-10-11.csv,51.4285714286,0.0053,0.0035
10001427_SH_2018-10-11_2018-10-11.csv,7.56227758007,0.1209,0.1124
10001482_SH_2018-10-11_2018-10-11.csv,8.9925062448,0.1309,0.1201
10001441_SH_2018-10-11_2018-10-11.csv,3.3908045977,0.3598,0.348
10001334_SH_2018-10-11_2018-10-11.csv,2.05291970803,0.4474,0.4384
10001423_SH_2018-10-11_2018-10-11.csv,-5.3302433372,0.0817,0.0863
10001369_SH_2018-10-11_2018-10-11.csv,-3.50701402806,0.1926,0.1996
10001464_SH_2018-10-11_2018-10-11.csv,56.0,0.0039,0.0025
10001451_SH_2018-10-11_2018-10-11.csv,-25.0,0.003,0.004
10001425_SH_2018-10-11_2018-10-11.csv,-15.3846153846,0.055,0.065
10001429_SH_2018-10-11_2018-10-11.csv,10.7029765674,0.1748,0.1579
10001484_SH_2018-10-11_2018-10-11.csv,8.95279435703,0.2008,0.1843
10001370_SH_2018-10-11_2018-10-11.csv,24.1784037559,0.0529,0.0426
10001324_SH_2018-10-11_2018-10-11.csv,6.78175092478,0.1732,0.1622
10001359_SH_2018-10-11_2018-10-11.csv,-65.7831325301,0.0568,0.166
10001461_SH_2018-10-11_2018-10-11.csv,26.3157894737,0.0024,0.0019
10001422_SH_2018-10-11_2018-10-11.csv,-6.64100096246,0.097,0.1039
10001378_SH_2018-10-11_2018-10-11.csv,21.568627451,0.0372,0.0306
10001469_SH_2018-10-11_2018-10-11.csv,-8.8679245283,0.0483,0.053
10001462_SH_2018-10-11_2018-10-11.csv,4.5871559633,0.285,0.2725
10001467_SH_2018-10-11_2018-10-11.csv,3.09885342423,0.3327,0.3227
10001481_SH_2018-10-11_2018-10-11.csv,13.0965593785,0.1019,0.0901
10001412_SH_2018-10-11_2018-10-11.csv,29.696969697,0.0214,0.0165
