,J1809,JM1809,RB1810,RB1901,volatility
J1809,1.0,0.692238763913,0.716823337615,0.637450739909,0.248205920286
JM1809,0.692238763913,1.0,0.68060170814,0.626639045622,0.240843405258
RB1810,0.716823337615,0.68060170814,1.0,0.816676095555,0.17673763751
RB1901,0.637450739909,0.626639045622,0.816676095555,1.0,0.200227117224
