,I1809,I1901,J1809,J1901,JM1809,JM1901,RB1810,RB1901,RB1905
I1809,1.0,0.84039099014,0.601985119525,0.578191269855,0.604777697546,0.569901132031,0.639751036714,0.544741588602,0.525221463327
I1901,0.84039099014,1.0,0.605316552391,0.587000497386,0.598943504345,0.563966759473,0.653754303159,0.574354845205,0.555290093169
J1809,0.601985119525,0.605316552391,1.0,0.865236668278,0.753061713165,0.689804656492,0.751455537787,0.6496562979,0.619534049175
J1901,0.578191269855,0.587000497386,0.865236668278,1.0,0.678520311974,0.671213172575,0.694744721253,0.623799632553,0.604812591279
JM1809,0.604777697546,0.598943504345,0.753061713165,0.678520311974,1.0,0.867736519332,0.688194361165,0.620544721396,0.591035462197
JM1901,0.569901132031,0.563966759473,0.689804656492,0.671213172575,0.867736519332,1.0,0.665457925084,0.602993124189,0.584937366404
RB1810,0.639751036714,0.653754303159,0.751455537787,0.694744721253,0.688194361165,0.665457925084,1.0,0.824294470366,0.784685493036
RB1901,0.544741588602,0.574354845205,0.6496562979,0.623799632553,0.620544721396,0.602993124189,0.824294470366,1.0,0.863309136563
RB1905,0.525221463327,0.555290093169,0.619534049175,0.604812591279,0.591035462197,0.584937366404,0.784685493036,0.863309136563,1.0
