,2015,2016,2017
10190000,-21.0,,
10190030,-24.0,,
10190100,-22.0,,
10190900,-23.0,19.0,146.0
10190930,-21.0,9.0,151.0
10191000,-22.0,12.0,149.0
10191030,-22.0,12.0,142.0
10191100,-20.0,10.0,150.0
10191130,-21.0,13.0,146.0
10191330,-21.0,11.0,148.0
10191400,-26.0,10.0,152.0
10191430,-23.0,10.0,149.0
10191500,-24.0,6.0,149.0
10192100,-19.0,14.0,157.0
10192130,-22.0,11.0,137.0
10192200,-23.0,12.0,146.0
10192230,-26.0,13.0,147.0
10192300,-27.0,12.0,147.0
10192330,-22.0,,
10200000,-23.0,,
10200030,-23.0,,
10200100,-24.0,,
10200900,-23.0,19.0,153.0
10200930,-27.0,21.0,151.0
10201000,-27.0,13.0,162.0
10201030,-25.0,20.0,163.0
10201100,-27.0,24.0,173.0
10201130,-22.0,20.0,178.0
10201330,-22.0,23.0,186.0
10201400,-25.0,22.0,182.0
10201430,-28.0,21.0,165.0
10201500,-24.0,22.0,169.0
10202100,-26.0,3.0,146.0
10202130,-26.0,4.0,147.0
10202200,-26.0,6.0,153.0
10202230,-26.0,14.0,157.0
10202300,-23.0,19.0,154.0
10202330,-25.0,,
10210000,-22.0,,
10210030,-24.0,,
10210100,-25.0,,
10210900,-25.0,27.0,
10210930,-26.0,23.0,
10211000,-24.0,25.0,
10211030,-23.0,26.0,
10211100,-26.0,25.0,
10211130,-25.0,24.0,
10211330,-26.0,24.0,
10211400,-25.0,26.0,
10211430,-22.0,25.0,
10211500,-26.0,30.0,
10212100,-24.0,23.0,
10212130,-23.0,29.0,
10212200,-22.0,28.0,
10212230,-22.0,27.0,
10212300,-22.0,23.0,
10212330,-23.0,,
10220000,-24.0,,
10220030,-27.0,,
10220100,-25.0,,
10220900,-24.0,,
10220930,-24.0,,
10221000,-25.0,,
10221030,-27.0,,
10221100,-25.0,,
10221130,-25.0,,
10221330,-26.0,,
10221400,-25.0,,
10221430,-25.0,,
10221500,-25.0,,
10222100,-26.0,,
10222130,-25.0,,
10222200,-26.0,,
10222230,-26.0,,
10222300,-24.0,,
10222330,-25.0,,
10230000,-29.0,,
10230030,-29.0,,
10230100,-30.0,,
10230900,-30.0,,147.0
10230930,-28.0,,170.0
10231000,-30.0,,167.0
10231030,-30.0,,168.0
10231100,-26.0,,166.0
10231130,-28.0,,163.0
10231330,-27.0,,164.0
10231400,-30.0,,160.0
10231430,-27.0,,161.0
10231500,-27.0,,159.0
10232100,-23.0,,166.0
10232130,-27.0,,166.0
10232200,-27.0,,167.0
10232230,-29.0,,156.0
10232300,-26.0,,130.0
10232330,-28.0,,
10240900,,39.0,180.0
10240930,,25.0,171.0
10241000,,25.0,165.0
10241030,,25.0,166.0
10241100,,29.0,170.0
10241130,,25.0,168.0
10241330,,26.0,178.0
10241400,,39.0,174.0
10241430,,36.0,171.0
10241500,,36.0,170.0
10242100,,28.0,156.0
10242130,,28.0,166.0
10242200,,29.0,164.0
10242230,,30.0,168.0
10242300,,28.0,175.0
10250900,,35.0,170.0
10250930,,35.0,168.0
10251000,,33.0,171.0
10251030,,40.0,173.0
10251100,,30.0,168.0
10251130,,28.0,158.0
10251330,,32.0,159.0
10251400,,34.0,158.0
10251430,,34.0,168.0
10251500,,29.0,162.0
10252100,,36.0,163.0
10252130,,34.0,166.0
10252200,,34.0,164.0
10252230,,32.0,172.0
10252300,,33.0,169.0
10260000,-27.0,,
10260030,-27.0,,
10260100,-29.0,,
10260900,-28.0,19.0,159.0
10260930,-28.0,20.0,160.0
10261000,-29.0,19.0,148.0
10261030,-29.0,26.0,157.0
10261100,-28.0,18.0,161.0
10261130,-28.0,17.0,163.0
10261330,-27.0,16.0,169.0
10261400,-27.0,17.0,154.0
10261430,-29.0,19.0,154.0
10261500,-26.0,23.0,144.0
10262100,-30.0,27.0,130.0
10262130,-26.0,27.0,158.0
10262200,-28.0,26.0,156.0
10262230,-27.0,17.0,150.0
10262300,-26.0,16.0,157.0
10262330,-28.0,,
10270000,-27.0,,
10270030,-26.0,,
10270100,-26.0,,
10270900,-26.0,28.0,
10270930,-28.0,23.0,
10271000,-24.0,22.0,
10271030,-25.0,14.0,
10271100,-21.0,6.0,
10271130,-22.0,-1.0,
10271330,-21.0,-4.0,
10271400,-22.0,0.0,
10271430,-21.0,2.0,
10271500,-19.0,3.0,
10272100,-26.0,25.0,
10272130,-29.0,16.0,
10272200,-26.0,23.0,
10272230,-25.0,23.0,
10272300,-25.0,23.0,
10272330,-25.0,,
10280000,-21.0,,
10280030,-21.0,,
10280100,-21.0,,
10280900,-21.0,10.0,
10280930,-21.0,3.0,
10281000,-22.0,5.0,
10281030,-21.0,4.0,
10281100,-20.0,3.0,
10281130,-23.0,2.0,
10281330,-23.0,2.0,
10281400,-22.0,0.0,
10281430,-23.0,3.0,
10281500,-22.0,5.0,
10282100,-23.0,-1.0,
10282130,-21.0,5.0,
10282200,-21.0,5.0,
10282230,-20.0,2.0,
10282300,-21.0,5.0,
10282330,-21.0,,
10290000,-22.0,,
10290030,-22.0,,
10290100,-21.0,,
10290900,-21.0,,
10290930,-23.0,,
10291000,-22.0,,
10291030,-22.0,,
10291100,-22.0,,
10291130,-21.0,,
10291330,-22.0,,
10291400,-21.0,,
10291430,-22.0,,
10291500,-22.0,,
10292100,-24.0,,
10292130,-22.0,,
10292200,-20.0,,
10292230,-21.0,,
10292300,-21.0,,
10292330,-21.0,,
10300000,-22.0,,
10300030,-25.0,,
10300100,-25.0,,
10300900,-25.0,,
10300930,-25.0,,
10301000,-25.0,,
10301030,-25.0,,
10301100,-25.0,,
10301130,-25.0,,
10301330,-26.0,,
10301400,-26.0,,
10301430,-23.0,,
10301500,-27.0,,
10302100,-21.0,,
10302130,-24.0,,
10302200,-24.0,,
10302230,-24.0,,
10302300,-21.0,,
10302330,-23.0,,
10310900,,11.0,
10310930,,9.0,
10311000,,6.0,
10311030,,5.0,
10311100,,4.0,
10311130,,5.0,
10311330,,6.0,
10311400,,7.0,
10311430,,5.0,
10311500,,5.0,
10312100,,5.0,
10312130,,3.0,
10312200,,-2.0,
10312230,,2.0,
10312300,,9.0,
11010900,,4.0,
11010930,,2.0,
11011000,,5.0,
11011030,,13.0,
11011100,,13.0,
11011130,,12.0,
11011330,,12.0,
11011400,,20.0,
11011430,,23.0,
11011500,,24.0,
11012100,,7.0,
11012130,,8.0,
11012200,,8.0,
11012230,,6.0,
11012300,,3.0,
11020000,-28.0,,
11020030,-27.0,,
11020100,-27.0,,
11020900,-27.0,27.0,
11020930,-27.0,29.0,
11021000,-25.0,17.0,
11021030,-21.0,22.0,
11021100,-23.0,23.0,
11021130,-25.0,26.0,
11021330,-24.0,27.0,
11021400,-24.0,25.0,
11021430,-26.0,25.0,
11021500,-26.0,23.0,
11022100,-29.0,24.0,
11022130,-24.0,24.0,
11022200,-27.0,23.0,
11022230,-27.0,22.0,
11022300,-28.0,26.0,
11022330,-27.0,,
11030000,-28.0,,
11030030,-28.0,,
11030100,-25.0,,
11030900,-24.0,28.0,
11030930,-26.0,29.0,
11031000,-28.0,26.0,
11031030,-26.0,25.0,
11031100,-29.0,27.0,
11031130,-28.0,26.0,
11031330,-28.0,26.0,
11031400,-26.0,28.0,
11031430,-30.0,29.0,
11031500,-28.0,31.0,
11032100,-30.0,16.0,
11032130,-27.0,27.0,
11032200,-28.0,29.0,
11032230,-28.0,29.0,
11032300,-29.0,26.0,
11032330,-28.0,,
11040000,-21.0,,
11040030,-20.0,,
11040100,-20.0,,
11040900,-21.0,53.0,
11040930,-21.0,45.0,
11041000,-20.0,47.0,
11041030,-18.0,42.0,
11041100,-19.0,40.0,
11041130,-18.0,40.0,
11041330,-19.0,41.0,
11041400,-18.0,42.0,
11041430,-14.0,39.0,
11041500,-12.0,42.0,
11042100,-27.0,36.0,
11042130,-21.0,33.0,
11042200,-21.0,34.0,
11042230,-22.0,41.0,
11042300,-22.0,48.0,
11042330,-20.0,,
11050000,-13.0,,
11050030,-14.0,,
11050100,-12.0,,
11050900,-13.0,,
11050930,-10.0,,
11051000,-11.0,,
11051030,-12.0,,
11051100,-13.0,,
11051130,-11.0,,
11051330,-9.0,,
11051400,-10.0,,
11051430,-10.0,,
11051500,-8.0,,
11052100,-11.0,,
11052130,-16.0,,
11052200,-13.0,,
11052230,-14.0,,
11052300,-14.0,,
11052330,-11.0,,
11060000,-9.0,,
11060030,-10.0,,
11060100,-9.0,,
11060900,-9.0,,
