,2015,2016,2017
01030800,,49.0,
01030900,,41.0,
01031000,,33.0,
01031100,,36.0,
01031300,,35.0,
01031400,,33.0,
01031500,,30.0,
01040800,,,
01040900,-7.0,36.0,
01041000,-11.0,34.0,
01041100,-13.0,39.0,
01041300,-18.0,49.0,
01041400,-11.0,47.0,
01041500,-14.0,49.0,
01042100,,34.0,
01042200,,35.0,
01042300,,35.0,
01050000,-11.0,,
01050100,-13.0,,
01050900,-11.0,47.0,
01051000,-10.0,47.0,
01051100,-11.0,53.0,
01051300,-11.0,53.0,
01051400,-9.0,53.0,
01051500,-7.0,46.0,
01052100,-12.0,47.0,
01052200,-15.0,47.0,
01052300,-12.0,46.0,
01060000,-9.0,,
01060100,-8.0,,
01060900,-8.0,50.0,
01061000,-9.0,52.0,
01061100,-7.0,53.0,
01061300,-7.0,48.0,
01061400,-6.0,51.0,
01061500,-8.0,55.0,
01062100,-7.0,48.0,
01062200,-10.0,47.0,
01062300,-12.0,53.0,
01070000,-7.0,,
01070100,-7.0,,
01070900,-6.0,,
01071000,-8.0,,
01071100,-7.0,,
01071300,-8.0,,
01071400,-7.0,,
01071500,-8.0,,
01072100,-8.0,,
01072200,-10.0,,
01072300,-9.0,,
01080000,-8.0,,
01080100,-8.0,,
01080900,-10.0,,
01081000,-9.0,,
01081100,-9.0,,
01081300,-12.0,,
01081400,-10.0,,
01081500,-10.0,,
01082100,-8.0,,
01082200,-10.0,,
01082300,-10.0,,
01090900,,46.0,
01091000,,56.0,
01091100,,58.0,
01091300,,62.0,
01091400,,59.0,
01091500,,64.0,
01092100,,54.0,
01092200,,52.0,
01092300,,51.0,
01100900,,67.0,
01101000,,63.0,
01101100,,62.0,
01101300,,59.0,
01101400,,66.0,
01101500,,59.0,
01102100,,65.0,
01102200,,65.0,
01102300,,69.0,
01110000,-11.0,,
01110100,-10.0,,
01110900,-10.0,66.0,
01111000,-8.0,72.0,
01111100,-5.0,65.0,
01111300,-6.0,67.0,
01111400,-6.0,70.0,
01111500,-8.0,73.0,
01112100,-9.0,66.0,
01112200,-10.0,69.0,
01112300,-10.0,68.0,
01120000,-9.0,,
01120100,-7.0,,
01120900,-7.0,65.0,
01121000,-10.0,71.0,
01121100,-7.0,73.0,
01121300,-9.0,72.0,
01121400,-7.0,75.0,
01121500,-7.0,81.0,
01122100,-5.0,71.0,
01122200,-7.0,72.0,
01122300,-9.0,71.0,
01130000,-12.0,,
01130100,-14.0,,
01130900,-13.0,80.0,
01131000,-11.0,82.0,
01131100,-12.0,86.0,
01131300,-12.0,85.0,
01131400,-12.0,81.0,
01131500,-12.0,82.0,
01132100,-5.0,81.0,
01132200,-10.0,83.0,
01132300,-11.0,80.0,
01140000,-12.0,,
01140100,-9.0,,
01140900,-10.0,,
01141000,-10.0,,
01141100,-11.0,,
01141300,-10.0,,
01141400,-10.0,,
01141500,-13.0,,
01142100,-9.0,,
01142200,-12.0,,
01142300,-12.0,,
01150000,-12.0,,
01150100,-12.0,,
01150900,-14.0,,
01151000,-9.0,,
01151100,-8.0,,
01151300,-7.0,,
01151400,-5.0,,
01151500,-6.0,,
01152100,-11.0,,
01152200,-12.0,,
01152300,-12.0,,
01160900,,76.0,
01161000,,84.0,
01161100,,95.0,
01161300,,95.0,
01161400,,99.0,
01161500,,91.0,
01162100,,82.0,
01162200,,74.0,
01162300,,87.0,
01170900,,91.0,
01171000,,77.0,
01171100,,74.0,
01171300,,63.0,
01171400,,66.0,
01171500,,61.0,
