,2015,2016,2017
01112245,-10.0,69.0,
01112300,-10.0,68.0,
01112315,-7.0,,
01112330,-8.0,,
01112345,-11.0,,
01120000,-9.0,,
01120015,-7.0,,
01120030,-7.0,,
01120045,-7.0,,
01120100,-7.0,,
01120900,-7.0,65.0,
01120915,-7.0,70.0,
01120930,-6.0,71.0,
01120945,-9.0,71.0,
01121000,-10.0,71.0,
01121015,-7.0,72.0,
01121030,-7.0,72.0,
01121045,-8.0,70.0,
01121100,-7.0,73.0,
01121115,-8.0,73.0,
01121130,-8.0,70.0,
01121330,-9.0,72.0,
01121345,-8.0,76.0,
01121400,-7.0,75.0,
01121415,-10.0,75.0,
01121430,-8.0,79.0,
01121445,-8.0,77.0,
01121500,-7.0,81.0,
01122100,-5.0,71.0,
01122115,-4.0,69.0,
01122130,-6.0,71.0,
01122145,-7.0,71.0,
01122200,-7.0,72.0,
01122215,-7.0,70.0,
01122230,-7.0,72.0,
01122245,-7.0,73.0,
01122300,-9.0,71.0,
01122315,-8.0,,
01122330,-7.0,,
01122345,-6.0,,
01130000,-12.0,,
01130015,-13.0,,
01130030,-13.0,,
01130045,-11.0,,
01130100,-14.0,,
01130900,-13.0,80.0,
01130915,-10.0,82.0,
01130930,-11.0,80.0,
01130945,-11.0,81.0,
01131000,-11.0,82.0,
01131015,-10.0,82.0,
01131030,-10.0,81.0,
01131045,-12.0,83.0,
01131100,-12.0,86.0,
01131115,-13.0,86.0,
01131130,-12.0,83.0,
01131330,-12.0,85.0,
01131345,-11.0,81.0,
01131400,-12.0,81.0,
01131415,-11.0,79.0,
01131430,-11.0,79.0,
01131445,-11.0,78.0,
01131500,-12.0,82.0,
01132100,-5.0,81.0,
01132115,-9.0,78.0,
01132130,-11.0,81.0,
01132145,-12.0,81.0,
01132200,-10.0,83.0,
01132215,-11.0,80.0,
01132230,-12.0,82.0,
01132245,-12.0,80.0,
01132300,-11.0,80.0,
01132315,-12.0,,
01132330,-12.0,,
01132345,-12.0,,
01140000,-12.0,,
01140015,-11.0,,
01140030,-11.0,,
01140045,-11.0,,
01140100,-9.0,,
01140900,-10.0,,
01140915,-13.0,,
01140930,-12.0,,
01140945,-11.0,,
01141000,-10.0,,
01141015,-11.0,,
01141030,-11.0,,
01141045,-11.0,,
01141100,-11.0,,
01141115,-10.0,,
01141130,-10.0,,
01141330,-10.0,,
01141345,-8.0,,
01141400,-10.0,,
01141415,-11.0,,
01141430,-11.0,,
01141445,-11.0,,
01141500,-13.0,,
01142100,-9.0,,
01142115,-14.0,,
01142130,-12.0,,
01142145,-12.0,,
01142200,-12.0,,
01142215,-12.0,,
01142230,-11.0,,
01142245,-11.0,,
01142300,-12.0,,
01142315,-11.0,,
01142330,-12.0,,
01142345,-10.0,,
01150000,-12.0,,
01150015,-11.0,,
01150030,-11.0,,
01150045,-11.0,,
01150100,-12.0,,
01150900,-14.0,,
01150915,-11.0,,
01150930,-12.0,,
01150945,-11.0,,
01151000,-9.0,,
01151015,-9.0,,
01151030,-9.0,,
01151045,-8.0,,
01151100,-8.0,,
01151115,-6.0,,
01151130,-8.0,,
01151330,-7.0,,
01151345,-6.0,,
01151400,-5.0,,
01151415,-7.0,,
01151430,-6.0,,
01151445,-5.0,,
