,2015,2016,2017
01190000,-24.0,-6.0,
01190100,-26.0,-7.0,
01190900,-25.0,-7.0,72.0
01191000,-17.0,-7.0,56.0
01191100,-24.0,-7.0,61.0
01191300,-19.0,-4.0,60.0
01191400,-21.0,-6.0,52.0
01191500,-13.0,-6.0,63.0
01192100,-32.0,-8.0,49.0
01192200,-24.0,-8.0,60.0
01192300,-23.0,-8.0,53.0
01200000,-28.0,-6.0,
01200100,-31.0,-5.0,
01200900,-31.0,-6.0,54.0
01201000,-24.0,-7.0,55.0
01201100,-18.0,-5.0,61.0
01201300,-14.0,-7.0,60.0
01201400,-16.0,-9.0,56.0
01201500,-25.0,-7.0,58.0
01202100,-18.0,-6.0,62.0
01202200,-28.0,-6.0,57.0
01202300,-27.0,-5.0,60.0
01210000,-20.0,-7.0,
01210100,-25.0,-7.0,
01210900,-25.0,-8.0,
01211000,-20.0,-4.0,
01211100,-19.0,-5.0,
01211300,-24.0,-8.0,
01211400,-25.0,-7.0,
01211500,-20.0,-6.0,
01212100,-26.0,-9.0,
01212200,-26.0,-8.0,
01212300,-18.0,-7.0,
01220000,-24.0,-8.0,
01220100,-21.0,-6.0,
01220900,-21.0,-6.0,
01221000,-17.0,-5.0,
01221100,-18.0,-6.0,
01221300,-22.0,-4.0,
01221400,-23.0,-6.0,
01221500,-19.0,-9.0,
01222100,-25.0,-3.0,
01222200,-20.0,-6.0,
01222300,-20.0,-7.0,
01230000,-18.0,,
01230100,-18.0,,
01230900,-18.0,,52.0
01231000,-20.0,,46.0
01231100,-19.0,,46.0
01231300,-19.0,,43.0
01231400,-25.0,,48.0
01231500,-18.0,,58.0
01232100,-17.0,,62.0
01232200,-19.0,,55.0
01232300,-19.0,,52.0
01240900,,,59.0
01241000,,,77.0
01241100,,,80.0
01241300,,,84.0
01241400,,,72.0
01241500,,,68.0
01242100,,,55.0
01242200,,,60.0
01242300,,,59.0
01250000,,-6.0,
01250100,,-6.0,
01250900,,-5.0,68.0
01251000,,-5.0,68.0
01251100,,-5.0,71.0
01251300,,-9.0,71.0
01251400,,-7.0,73.0
01251500,,-11.0,80.0
01252100,,-6.0,66.0
01252200,,-8.0,62.0
01252300,,-4.0,67.0
01260000,-23.0,-8.0,
01260100,-21.0,-6.0,
01260900,-22.0,-5.0,70.0
01261000,-21.0,-8.0,77.0
01261100,-24.0,-5.0,78.0
01261300,-27.0,-7.0,75.0
01261400,-23.0,-6.0,72.0
01261500,-18.0,-6.0,68.0
01262100,-24.0,-11.0,78.0
01262200,-18.0,-10.0,74.0
01262300,-21.0,-9.0,74.0
01270000,-22.0,-6.0,
01270100,-24.0,-5.0,
01270900,-24.0,-4.0,
01271000,-24.0,-6.0,
01271100,-27.0,-8.0,
01271300,-22.0,-6.0,
01271400,-25.0,-7.0,
01271500,-25.0,-7.0,
01272100,-20.0,-3.0,
01272200,-22.0,-6.0,
01272300,-25.0,-7.0,
01280000,-22.0,-7.0,
01280100,-22.0,-6.0,
01280900,-20.0,-6.0,
01281000,-21.0,-8.0,
01281100,-23.0,-7.0,
01281300,-23.0,-10.0,
01281400,-26.0,-8.0,
01281500,-18.0,-8.0,
01282100,-20.0,-9.0,
01282200,-26.0,-6.0,
01282300,-29.0,-6.0,
01290000,-14.0,-11.0,
01290100,-18.0,-10.0,
01290900,-18.0,-8.0,
01291000,-19.0,-13.0,
01291100,-21.0,-13.0,
01291300,-16.0,-12.0,
01291400,-19.0,-10.0,
01291500,-19.0,-13.0,
01292100,-16.0,-9.0,
01292200,-23.0,-12.0,
01292300,-20.0,-12.0,
01300000,-16.0,,
01300100,-18.0,,
01300900,-17.0,,
01301000,-16.0,,
01301100,-25.0,,
01301300,-14.0,,
01301400,-17.0,,
01301500,-8.0,,
01302100,-15.0,,
01302200,-11.0,,
01302300,-13.0,,
02010000,,-9.0,
02010100,,-12.0,
02010900,,-11.0,
02011000,,-2.0,
02011100,,-1.0,
02011300,,-3.0,
02011400,,-4.0,
02011500,,-3.0,
02012100,,-13.0,
02012200,,-8.0,
02012300,,-10.0,
02020000,-6.0,-3.0,
02020100,-7.0,-3.0,
02020900,-9.0,-3.0,
02021000,-5.0,-6.0,
02021100,-8.0,-2.0,
02021300,-7.0,-4.0,
02021400,-4.0,-4.0,
02021500,-7.0,-4.0,
