bid_spread, ask_spread, long_bid_spread, short_ma_bid_spread, long_ask_spread, short_ma_ask_spread, std
75.0,75.0,74.9767450957,75.2382134248,73.5838996927,73.7240993112,4.97057312814
75.0,70.0,74.9771294743,75.2228448168,73.6073063093,73.8064154847,4.97057312814
75.0,75.0,74.8948628714,74.8858870867,73.5476814117,73.5608402921,4.99374608886
70.0,75.0,74.8139560471,74.5706685649,73.4890420495,73.3311086604,5.01646594283
75.0,75.0,74.8996757819,74.9209480124,73.5966611892,73.7613597146,5.01231123224
70.0,70.0,74.7360447772,74.2808868503,73.4545676158,73.1961107007,5.09884927105
75.0,75.0,74.7404076735,74.327281247,73.4801119527,73.3124906555,5.07649813684
80.0,75.0,74.7446984557,74.3706824569,73.5052340692,73.4213622261,5.07649813684
80.0,80.0,74.6662736879,74.0887029436,73.447296316,73.2006291793,5.07991688471
75.0,75.0,74.7544344533,74.4700769472,73.5556054678,73.6392982645,5.07991688471
75.0,70.0,74.758493388,74.5042655312,73.5794797576,73.7270854732,5.07991688471
75.0,70.0,74.7624852328,74.5362484002,73.602959431,73.8092089911,5.07991688471
70.0,70.0,74.7664110968,74.5661678582,73.6260510107,73.8860342175,5.07991688471
75.0,75.0,74.6876274423,74.2715763835,73.5661162832,73.6353223325,5.07991688471
75.0,75.0,74.6101459969,73.9959908104,73.5071722124,73.4007854078,5.10157247
75.0,75.0,74.5339452367,73.7381849517,73.4492024238,73.1813798976,5.12279762977
80.0,80.0,74.4590039931,73.497011729,73.3921908135,72.9761295816,5.14359769249
75.0,75.0,74.3853014477,73.271398069,73.4187661719,73.1067018667,5.14359769249
80.0,80.0,74.3128171263,73.0603401291,73.3622576402,72.9062694882,5.16330535822
75.0,75.0,74.2415308928,72.8628988304,73.3066831337,72.7187682309,5.1612875224
75.0,75.0,74.088778316,72.3556150349,73.169382586,72.2207831837,5.23808170994
75.0,75.0,74.1038398315,72.5262205166,73.116996097,72.0775068493,5.23808170994
75.0,75.0,74.1186523963,72.6858191929,73.1481201285,72.2660547945,5.23808170994
75.0,75.0,73.967930869,72.1899598901,73.096085085,72.119857711,5.31245915017
70.0,70.0,73.8197006067,71.7260915101,73.0449101249,71.9830926974,5.38451999305
70.0,65.0,73.7565650595,71.6147307675,72.994581032,71.855151233,5.38451999305
70.0,70.0,73.6944730751,71.510554589,73.0277284529,72.0580447019,5.38451999305
70.0,75.0,73.7160520325,71.7356800994,73.0603279826,72.2478482695,5.36821276901
65.0,65.0,73.737274313,71.9462813833,73.1750333052,72.7479870908,5.35153145267
70.0,70.0,73.7581458119,72.1432954876,73.2878426721,73.2158588914,5.27770467786
65.0,60.0,73.6960276993,72.0050183594,73.2334981651,73.0083841242,5.27770467786
75.0,75.0,73.7175809605,72.1982429813,73.2626965425,73.136875471,5.20149551144
75.0,70.0,73.8214225975,72.7015821438,73.2914123022,73.2570770536,5.22264699809
70.0,65.0,73.8409032157,72.8498671668,73.4022980492,73.6921043404,5.22264699809
70.0,65.0,73.8600618403,72.9885854141,73.428706346,73.7764847056,5.20349775525
65.0,65.0,73.8789037933,73.1183540971,73.4546781419,73.8554211762,5.1839428902
65.0,65.0,73.8974343091,73.2397506069,73.56286528,74.2518456164,5.10293352451
65.0,70.0,73.9983031635,73.6758957291,73.669264201,74.6226942863,5.03873881928
75.0,75.0,74.1801493922,74.4064831014,73.8565490903,75.2921978808,5.0304627576
65.0,65.0,74.27634527,74.7673551594,74.0407383615,75.9185076949,5.04820512658
75.0,70.0,74.5362403895,75.7501064394,74.3045278101,76.8269910694,5.13092475962
80.0,75.0,74.7091950939,76.3468737659,74.4813124744,77.3542819682,5.20149551144
75.0,75.0,74.8792910427,76.9051399745,74.6551750781,77.8475540993,5.25578385104
80.0,75.0,75.0465754883,77.4273890084,74.8261639198,78.3090022219,5.32274339248
75.0,75.0,75.2110949017,77.9159445563,75.0769711277,79.0632601431,5.37483849887
75.0,75.0,75.4555396141,78.6955610365,75.323632762,79.7688562629,5.52629446877
70.0,75.0,75.695943918,79.4248796793,75.4835727163,80.1063494072,5.67095426028
75.0,75.0,75.7670853408,79.4619842162,75.558224407,80.0994881551,5.65439848456
75.0,75.0,75.8370508724,79.4966949119,75.6316421854,80.0930695645,5.66406190134
75.0,75.0,76.0711492051,80.1743274982,75.869135703,80.7322263668,5.79990421377
75.0,75.0,76.3013781438,80.8082418532,76.1027037079,81.3301472463,5.93000257635
80.0,75.0,76.5278016456,81.4012585078,76.3324110846,81.8894925853,6.05472726241
80.0,80.0,76.7504826101,81.9560160234,76.5583216452,82.4127511281,6.16891850777
75.0,75.0,76.9694828976,82.4749827316,76.7804981469,82.9022510554,6.27992834354
80.0,75.0,77.1022187174,82.6378870715,76.9163576817,83.037589697,6.3223589128
80.0,75.0,77.3154051849,83.1128620991,77.1326162324,83.4867774584,6.42856040563
75.0,80.0,77.5250679091,83.5571935766,77.2626556335,83.5844047192,6.53197264742
80.0,75.0,77.6486205057,83.650277862,77.390545623,83.675733447,6.56960594117
75.0,75.0,77.7701309105,83.7373567096,77.5163217284,83.7611699988,6.60373947094
75.0,75.0,77.9722775071,84.1413982122,77.7226635181,84.1636751602,6.7035438389
75.0,75.0,78.1710828375,84.5193725211,77.8429500715,84.2176316014,6.79958638448
75.0,75.0,78.3666021295,84.8729613907,78.0438930455,84.5906876272,6.89202437605
70.0,70.0,78.4762450695,84.88115743,78.2415146481,84.9396755222,6.92168492654
75.0,75.0,78.5840757295,84.8888246926,78.3532251497,84.943567424,6.91905079392
85.0,80.0,78.6901240645,84.8959972931,78.3804445688,84.6246275902,6.94609702559
80.0,80.0,78.8770641626,85.2252877903,78.6551479643,85.2940064553,7.00396712982
85.0,80.0,78.8956250856,84.888172449,78.6773769236,84.9524576517,7.00396712982
80.0,75.0,78.9965238445,84.8953871297,78.8645277182,85.2781055452,7.00396712982
75.0,75.0,79.0957548553,84.9021363471,78.9659404832,85.2601632519,7.03155091949
75.0,75.0,79.1933456842,84.9084501312,79.1483216323,85.5659591712,7.05619802412
75.0,75.0,79.3719680695,85.2369372195,79.3276882168,85.8520263214,7.1351049202
70.0,70.0,79.5476380188,85.5442315924,79.5040900645,86.1196375265,7.21098217228
70.0,70.0,79.6377597044,85.5091198768,79.6775761791,86.3699834925,7.19760762723
75.0,75.0,79.8916810316,86.1214347235,80.0134840109,87.2493393962,7.31425074009
75.0,75.0,80.1414053121,86.6942453865,80.261195019,87.7493820158,7.45810055503
65.0,75.0,80.2217126623,86.5849392325,80.4221670021,87.8945831761,7.47205441778
70.0,65.0,80.2180479902,86.1601044433,80.3325444071,87.0626745841,7.36498849663
70.0,75.0,80.2970885193,86.0852589953,80.4096924334,86.9295988045,7.33984086264
75.0,80.0,80.3748225934,86.015242286,80.4029206576,86.4825279139,7.31247032283
85.0,80.0,80.3686271786,85.6271621385,80.4789054401,86.3868809517,7.30284856903
80.0,80.0,80.4451787955,85.586700065,80.5536342758,86.2974047612,7.30284856903
80.0,80.0,80.4378204683,85.2262678028,80.461838668,85.5685399379,7.30284856903
80.0,80.0,80.5132283944,85.21166988,80.454204971,85.2092792968,7.32148664321
85.0,85.0,80.6700345367,85.5205944039,80.5293420789,85.1957774067,7.38617326872
80.0,80.0,80.7416042137,85.4870076682,80.6032372512,85.1831466062,7.38617326872
80.0,80.0,80.8946355491,85.7781684638,80.6759110156,85.1713306962,7.4493661177
85.0,85.0,80.9624928127,85.7279640467,80.6647389327,84.8376964577,7.46647600203
85.0,75.0,81.0292284687,85.6809986244,80.6537515123,84.5255870088,7.46647600203
80.0,75.0,81.094861056,85.6370632292,80.6429457022,84.2336136534,7.46647600203
80.0,75.0,81.1594088071,85.5959623757,80.6323185005,83.9604772887,7.48331477355
85.0,75.0,81.2228896533,85.5575131902,80.621866955,83.7049626249,7.49988425837
85.0,75.0,81.2853212293,85.5215445973,80.6115881624,83.4659327781,7.49988425837
85.0,75.0,81.3467208784,85.4878965588,80.6014792672,83.2423242118,7.49988425837
80.0,75.0,81.4897502853,85.7790000066,80.6741820892,83.3557226497,7.54385327417
80.0,75.0,81.6304155699,86.0513225868,80.7456832117,83.4618050594,7.6029964853
80.0,75.0,81.7687558084,86.3060759683,80.8160024974,83.5610434427,7.66077672302
75.0,70.0,81.8221648033,86.2218130026,80.8025148528,83.3312987045,7.67560620118
65.0,65.0,81.8746910049,86.1429863573,80.7892501445,83.1163762074,7.67741547224
75.0,70.0,81.8437043767,85.7466646568,80.7762046876,82.9153196779,7.55535130443
80.0,75.0,81.8132299242,85.3759120983,80.8460194862,83.0498151825,7.54143646057
75.0,75.0,81.7832591817,85.0290790597,80.832035693,82.8530529127,7.54143646057
75.0,75.0,81.7537838233,84.7046223462,80.8182830369,82.6689849828,7.52726525521
80.0,80.0,81.7247956609,84.4010983238,80.8047576975,82.4967924033,7.51283623762
80.0,80.0,81.7789312698,84.4397371417,80.8741005454,82.6582896676,7.52588126992
75.0,75.0,81.8321720753,84.4758831325,80.9422972306,82.8093677536,7.53867343916
70.0,70.0,81.8845328674,84.509697124,81.0093666979,82.9506988662,7.53590940468
70.0,70.0,81.8533835638,84.2187489224,81.0753275789,83.0829118426,7.47669991819
70.0,70.0,81.9053937529,84.2691522177,81.1401981975,83.2065949495,7.42742665172
70.0,70.0,82.0391888974,84.6388843327,81.2866412025,83.6448791463,7.41432547318
75.0,75.0,82.0054832958,84.3396014726,81.2653744057,83.409725653,7.34988662044
75.0,75.0,81.9723348116,84.059627184,81.2444591263,83.1897433528,7.33132074656
75.0,75.0,82.0223788643,84.1202963979,81.3065341821,83.3065341043,7.3218423228
75.0,75.0,81.9889511145,83.8544708239,81.2849385757,83.0932093233,7.30249196432
75.0,75.0,81.9560758895,83.6057952869,81.2636999216,82.8936474315,7.28285181475
80.0,80.0,82.0063886847,83.695743978,81.4081015758,83.3521217908,7.27140040769
70.0,70.0,82.0558698634,83.7798895278,81.4674717977,83.458436514,7.27963292725
70.0,70.0,82.1045331715,83.8586063325,81.5258606936,83.5578922227,7.21675808256
70.0,70.0,82.1523921273,83.9322446336,81.5832844838,83.6509314342,7.15114598431
80.0,75.0,82.199460026,84.0011320766,81.6397591204,83.7379681158,7.08272056173
75.0,70.0,82.245749943,84.0655751684,81.695300292,83.8193895277,7.08872343938
75.0,75.0,82.2912747373,84.1258606414,81.7499234276,83.8955579453,7.07057674844
70.0,70.0,82.3360470557,84.1822567291,81.8036437016,83.9668122714,7.05139860044
70.0,70.0,82.3800793358,84.2350143595,81.8564760371,84.0334695442,6.97602541248
80.0,80.0,82.4233838096,84.2843682718,81.9084351108,84.0958263478,6.89756398223
65.0,65.0,82.4659725069,84.3305380607,81.8768907288,83.8315794867,6.90096108444
75.0,75.0,82.5078572589,84.3737291535,81.9285123697,83.9069614553,6.72874740696
75.0,75.0,82.5490497009,84.4141337243,81.9792807603,83.977480071,6.70186023098
70.0,70.0,82.5895612761,84.4519315485,82.0292100039,84.0434490987,6.67382428264
80.0,80.0,82.5467586103,84.1647101583,81.9956693427,83.7825814149,6.5816189751
75.0,75.0,82.5873080548,84.2185998255,81.9626830725,83.5385439043,6.58227839649
75.0,75.0,82.6271872605,84.26901274,81.93024203,83.3102507492,6.55108133568
75.0,75.0,82.5837626777,83.9935925632,81.8983372031,83.0966861847,6.5190692502
70.0,70.0,82.5410558566,83.7359414301,81.8669597287,82.8968999792,6.48663155181
70.0,70.0,82.4990549333,83.4949129507,81.8361008902,82.7100032064,6.38792263225
70.0,70.0,82.4577482402,83.2694346959,81.8057521151,82.5351642899,6.28655973751
70.0,70.0,82.4171243023,83.0585034252,81.7759049727,82.3716053034,6.18241233033
70.0,75.0,82.3771718345,82.8611806235,81.7465511715,82.2185985096,6.07533721058
70.0,70.0,82.4205243662,82.9991689704,81.8003271852,82.3980437671,5.96153759994
70.0,70.0,82.4631603271,83.1282548433,81.8532143392,82.5659119111,5.84284938099
65.0,65.0,82.5050915614,83.2490125953,81.9052273253,82.7229498524,5.71896819559
75.0,70.0,82.5463297174,83.3619795247,81.9563805927,82.8698563135,5.46945431972
75.0,75.0,82.586886251,83.467658265,82.0066883515,83.0072849384,5.41586532534
65.0,70.0,82.7094170567,83.8890996673,82.1388092051,83.4584278456,5.39032054293
65.0,70.0,82.8299225599,84.2833513016,82.2687462431,83.8804647588,5.14224740102
70.0,70.0,82.8657916085,84.3295867015,82.3138909333,83.9526928389,4.84320113378
70.0,75.0,82.9010677803,84.3728391724,82.3582894302,84.0202610428,4.66964190871
75.0,75.0,83.0184055029,84.7358818064,82.4845986959,84.406050653,4.51540572805
75.0,80.0,83.051159131,84.7529216899,82.5261755769,84.4443699657,4.43392853147
75.0,80.0,83.0833713767,84.768862226,82.5670652368,84.4802170647,4.34932945023
70.0,70.0,83.1150511887,84.7837743405,82.6072790345,84.5137514476,4.26142255852
75.0,75.0,83.2288519955,85.1203050282,82.7294727695,84.8677029671,4.07482105947
80.0,75.0,83.3407717972,85.4351240586,82.8496467733,85.1988189047,4.00325388486
75.0,80.0,83.4508416849,85.7296321839,82.8851898019,85.1859918786,4.00498820917
75.0,75.0,83.5590922355,86.0051397849,83.0854345985,85.8191536929,3.92552190444
75.0,75.0,83.6655535209,86.262872702,83.1170803076,85.7663050675,3.84034684487
75.0,80.0,83.7702551156,86.503977689,83.1482029472,85.7168660309,3.74907395973
80.0,80.0,83.8732261054,86.7295275155,83.1788111629,85.6706166096,3.65124598216
85.0,85.0,84.0571397235,87.2631063855,83.374202714,86.2725123122,3.71838525289
80.0,85.0,84.155368819,87.4396801671,83.3184307683,85.8678340985,3.73956882541
90.0,90.0,84.2519742931,87.6048620918,83.346225301,85.8118448018,3.72468305885
85.0,85.0,84.3469829824,87.7593871181,83.37356042,85.7594677178,3.72468305885
85.0,85.0,84.4404212802,87.9039427879,83.4004437189,85.7104698005,3.74444032311
85.0,85.0,84.5323151434,88.0391722855,83.4268826657,85.6646330392,3.7636326276
85.0,90.0,84.6226900997,88.1656772993,83.4528846051,85.6217534883,3.78226857264
90.0,90.0,84.628926627,87.9614400542,83.4784567604,85.58164036,3.78226857264
90.0,85.0,84.7177046992,88.0929600507,83.5862508635,85.8666958207,3.78226857264
80.0,80.0,84.8050153654,88.2159948861,83.774907874,86.4559412516,3.78226857264
80.0,80.0,84.89088288,88.3310919902,83.7951573306,86.3620095579,3.76294063496
90.0,90.0,84.8926864688,88.1161828296,83.8150720855,86.2741379736,3.72468305885
90.0,90.0,84.8944602461,87.9151387761,83.917302299,86.5145161688,3.70716273659
90.0,90.0,84.8962047049,87.7270653066,83.9351981287,86.4168054482,3.68908864084
90.0,90.0,84.8152757015,87.2285449643,83.8701535316,86.002818,3.70786513898
90.0,90.0,84.8183289957,87.0847678698,83.8888286798,85.9381200645,3.68838266272
85.0,85.0,84.8213318222,86.9502667169,83.9071951479,85.8775961894,3.66832348931
90.0,90.0,84.8242850152,86.8244430578,83.925258038,85.8209770804,3.66832348931
90.0,85.0,84.8271893951,86.706737054,83.943022368,85.7680108171,3.64767810471
85.0,85.0,84.8300457688,86.596624986,83.8778484445,85.395881087,3.62643649699
85.0,85.0,84.9154995577,86.8161975676,83.8963964041,85.3703403717,3.64767810471
90.0,90.0,84.9995408873,87.0216041761,83.997282414,85.6690280897,3.66832348931
90.0,85.0,85.0821931041,87.2137587454,84.0138562584,85.6258649871,3.66832348931
90.0,90.0,85.1634791685,87.3935162457,84.0301561549,85.5854866008,3.66832348931
85.0,90.0,85.0781324054,86.9165151976,83.9635420036,85.2251326266,3.6834370272
85.0,85.0,85.2421302168,87.4380303461,84.0633181688,85.5331885862,3.78020244902
85.0,80.0,85.3207726926,87.6033187109,83.9961558851,85.1762086774,3.79967103839
90.0,95.0,85.3154706646,87.435362665,83.9301037217,84.8422597304,3.79967103839
80.0,80.0,85.2276116454,86.9556618479,83.8651433296,84.5298558769,3.81517438075
85.0,90.0,85.3064940975,87.152070761,83.801256663,84.2376071106,3.79967103839
85.0,85.0,85.3014280794,87.0132274861,83.8210706024,84.2867937486,3.79967103839
85.0,90.0,85.3790904252,87.205922487,83.7579124107,84.01022641,3.81858576206
90.0,90.0,85.4554690958,87.3861855523,83.6957981559,83.7515021255,3.83695481107
90.0,90.0,85.5305853091,87.5548187425,83.7173552112,83.8320503755,3.83695481107
85.0,90.0,85.6044599321,87.712572372,83.7385559515,83.9074019642,3.83695481107
95.0,100.0,85.6771134869,87.860148348,83.7594062664,83.97789216,3.85478598628
95.0,95.0,85.5832769004,87.353042003,83.6972673198,83.7212539561,3.79967103839
85.0,90.0,85.656280588,87.5238134867,83.7188000914,83.8037537009,3.72468305885
80.0,75.0,85.645432975,87.3609868101,83.7399769494,83.8809308815,3.72468305885
85.0,85.0,85.386830777,86.2409231449,83.5128698924,82.9853869537,3.95613974307
85.0,80.0,85.2977922518,85.838282942,83.4548059272,82.7927813437,3.98869931459
80.0,85.0,85.2928700658,85.7842001716,83.4803463251,82.9351825474,3.98869931459
85.0,85.0,85.2053846102,85.411025967,83.2575306834,82.1006546411,3.98869931459
80.0,75.0,85.2846344513,85.7070888078,83.3689764572,82.6102898255,4.00845460662
85.0,80.0,85.1146404934,85.0163088847,83.3132908959,82.4418840303,4.09182789906
90.0,85.0,85.1127456093,85.0152566986,83.2585257571,82.2843431252,4.09182789906
85.0,85.0,85.1108820455,85.0142723955,83.2046658273,82.1369661493,4.07205073915
90.0,85.0,84.9437600282,84.3681903054,82.986406888,81.3539360752,4.18309262256
85.0,80.0,84.8620449864,84.0863715761,82.9370447907,81.2665853607,4.19138501373
85.0,80.0,84.8643252346,84.1453153453,82.9711432239,81.5074508213,4.19138501373
85.0,80.0,84.8665677927,84.2004562908,83.0046780466,81.7327765747,4.19138501373
85.0,80.0,84.8687732837,84.2520397559,83.0376585748,81.9435651828,4.19138501373
